pair_index,precision media: 0.7385 desviacion: 0.2941
0,1.0
1,0.8
2,0.4
3,1.0
4,0.2
5,1.0
6,1.0
7,0.8
8,0.1
9,0.6
10,0.8
11,0.6
12,1.0
13,0.8
14,1.0
15,0.8
16,0.8
17,1.0
18,0.1
19,1.0
20,1.0
21,0.4
22,0.7
23,0.8
24,0.8
25,1.0
26,1.0
27,0.2
28,1.0
29,0.1
30,0.8
31,0.4
32,0.4
33,1.0
34,0.8
35,1.0
36,1.0
37,0.8
38,0.8
