pair_index,precision media: 0.6735 desviacion: 0.2578
0,0.8
1,0.5
2,0.6
3,0.8
4,1.0
5,0.4
6,0.6
7,0.8
8,0.8
9,1.0
10,1.0
11,0.3
12,1.0
13,0.8
14,0.2
15,0.2
16,0.7
17,1.0
18,0.8
19,0.6
20,0.8
21,0.8
22,1.0
23,1.0
24,0.6
25,0.3
26,0.5
27,0.5
28,0.8
29,0.3
30,0.6
31,0.5
32,0.5
33,1.0
34,0.8
35,1.0
36,0.6
37,0.3
38,0.1
39,1.0
40,1.0
41,0.4
42,0.5
43,0.6
44,1.0
45,0.8
46,0.6
47,0.8
48,0.4
