pair_index,precision media: 0.8513 desviacion: 0.1693
0,0.5
1,0.8
2,1.0
3,0.8
4,0.8
5,1.0
6,1.0
7,0.8
8,1.0
9,0.8
10,0.7
11,0.8
12,1.0
13,0.8
14,1.0
15,1.0
16,1.0
17,1.0
18,1.0
19,0.8
20,1.0
21,0.8
22,0.8
23,1.0
24,0.5
25,0.8
26,1.0
27,0.7
28,0.8
29,1.0
30,1.0
31,0.7
32,1.0
33,0.6
34,1.0
35,0.8
36,1.0
37,0.8
38,0.3
