ccp_alpha,cv_accuracy_mean,cv_accuracy_std,test_accuracy,f1_w,depth,n_leaves
0.0005812352779222367,0.9240356083086054,0.011039213790942564,0.9289099526066351,0.9297186556507485,10,86
0.0005816023738872406,0.9240356083086054,0.011039213790942564,0.9289099526066351,0.9297186556507485,10,84
0.0005826814135419475,0.9240356083086054,0.011039213790942564,0.9289099526066351,0.9297186556507485,10,82
0.000584870769363093,0.9240356083086054,0.011039213790942564,0.9289099526066351,0.9297186556507485,10,80
0.0005854519207634925,0.9240356083086054,0.011039213790942564,0.9289099526066351,0.9297186556507485,10,78
0.0005902638543588098,0.9240356083086054,0.011039213790942564,0.9289099526066351,0.9297186556507485,10,76
0.000791295746785361,0.9275964391691394,0.012104497361644559,0.9289099526066351,0.9297186556507485,10,74
0.0008902077151335311,0.9270029673590503,0.011809939906309994,0.9289099526066351,0.9297186556507485,10,72
0.0009495548961424331,0.9270029673590503,0.011809939906309994,0.9265402843601895,0.9274376639259149,10,71
0.0009891196834817012,0.9281899109792284,0.01147719857911793,0.9265402843601895,0.9274376639259149,10,70
0.001017380245866893,0.9281899109792284,0.01147719857911793,0.9265402843601895,0.9274376639259149,10,69
0.0011072044185759424,0.9252225519287833,0.012783774022871222,0.9265402843601895,0.9274376639259149,10,67
0.0011203158399067698,0.9258160237388724,0.012306493384764224,0.9265402843601895,0.9274376639259149,10,65
0.0011284446626674937,0.9258160237388724,0.012306493384764224,0.9241706161137441,0.9249965888268351,10,62
0.0011295746785361035,0.9258160237388724,0.012306493384764224,0.9241706161137441,0.9249965888268351,10,60
0.0011359107785375363,0.9258160237388724,0.012306493384764224,0.9241706161137441,0.9249965888268351,10,59
0.0011445527766002542,0.9264094955489615,0.013190570190440867,0.9241706161137441,0.9249965888268351,10,58
0.0011486551163013298,0.9264094955489615,0.013190570190440867,0.9265402843601895,0.9273665198927542,10,57
0.0011539729640619853,0.9264094955489615,0.013190570190440867,0.9265402843601895,0.9273665198927542,10,56
0.001154424616885493,0.9264094955489615,0.013190570190440867,0.9265402843601895,0.9273665198927542,10,54
0.001167799368239686,0.9264094955489615,0.013190570190440867,0.9289099526066351,0.9296491740965044,10,52
0.0011678338623873265,0.9264094955489615,0.013190570190440867,0.9265402843601895,0.927287983521315,10,51
0.001182360826277745,0.9264094955489615,0.013190570190440867,0.9265402843601895,0.927287983521315,10,50
0.001384767556874382,0.9252225519287833,0.01506062616077093,0.9241706161137441,0.9245939065644869,10,49
0.0013977466327499176,0.9252225519287833,0.01661721068249257,0.9265402843601895,0.9268865238566485,10,48
0.0014243323442136497,0.9258160237388726,0.017504903505937818,0.9265402843601895,0.9268865238566485,10,47
0.0015794488056131708,0.9216617210682493,0.020090576711941553,0.9265402843601895,0.9268865238566485,9,45
0.0018224470868409125,0.9222551928783383,0.021837827291363934,0.9289099526066351,0.9289581168100697,9,44
0.0018906316235693093,0.9222551928783383,0.021837827291363934,0.9312796208530806,0.9312720508881789,9,43
0.001908071047536923,0.9222551928783383,0.021837827291363934,0.933649289099526,0.9335799017021086,9,42
0.002147802741274552,0.9181008902077151,0.02356015814988634,0.9360189573459715,0.936109010506909,9,41
0.002148623209214766,0.9181008902077151,0.02356015814988634,0.9360189573459715,0.936109010506909,9,40
0.002160399824801088,0.9181008902077151,0.02356015814988634,0.9360189573459715,0.935929316373798,9,39
0.0022634738803395207,0.9181008902077151,0.02356015814988634,0.9360189573459715,0.935929316373798,9,38
0.002310583580613255,0.9175074183976261,0.023989772025409816,0.9289099526066351,0.928935510928503,9,37
0.0023566781661881887,0.916320474777448,0.02485506420340885,0.9289099526066351,0.928935510928503,9,36
