rank,feature,importance_gini
1,Weight,0.5065581908780683
2,Height,0.2469684120830585
3,Gender,0.1602773449572637
4,Age,0.0247524588226053
5,FAVC,0.0237967259419223
6,CH2O,0.0101391656417371
7,CAEC_Sometimes,0.007591005299457
8,TUE,0.004725310995539
9,NCP,0.0037555963674588
10,CAEC_Frequently,0.0023265234772187
