max_depth,train_accuracy,cv_accuracy_mean,cv_accuracy_std,test_accuracy,f1_w,depth_real,n_leaves
10,0.998813056379822,0.9252225519287833,0.017444437337328245,0.9289099526066351,0.9297186556507485,10,98
None,1.0,0.9240356083086054,0.011039213790942564,0.9289099526066351,0.9297186556507485,12,101
15,1.0,0.9228486646884273,0.012866162248474063,0.9289099526066351,0.9297186556507485,12,101
7,0.94540059347181,0.8854599406528191,0.02584159175914213,0.9004739336492891,0.9006646923198244,7,57
5,0.8528189910979228,0.8231454005934719,0.01543026706231454,0.8199052132701422,0.818478646717338,5,25
3,0.6433234421364985,0.629080118694362,0.006224384855609233,0.6563981042654028,0.6447399715674174,3,8
2,0.5543026706231454,0.5531157270029674,0.00550363115459688,0.5450236966824644,0.4286796178742098,2,4
1,0.29080118694362017,0.29080118694362017,0.002654086620177784,0.2914691943127962,0.14294236333565752,1,2
