modelo,cv_accuracy_mean,cv_accuracy_std,test_accuracy,f1_w,fit_time_s
Gradient Boosting mejor config,0.9608308605341247,0.014218573947431373,0.9715639810426541,0.9717999288176371,5.417528923004284
Gradient Boosting default,0.9560830860534125,0.01813733743612595,0.966824644549763,0.967404931276427,2.6888294409873197
Random Forest (mejor config),0.9519287833827892,0.01682783012315469,0.9549763033175356,0.955282624024749,0.41398230798949953
AdaBoost (mejor config),0.3899109792284866,0.02570493510707146,0.4265402843601896,0.3232943223068033,0.29893358900153544
