modelo,cv_accuracy_mean,cv_accuracy_std,test_accuracy,f1_w,depth,n_leaves
Sin restricciones,0.9240356083086054,0.011039213790942564,0.9289099526066351,0.9297186556507485,12,101
Mejor poda posterior,0.9281899109792284,0.01147719857911793,0.9265402843601895,0.9274376639259149,10,70
Mejor poda previa,0.9287833827893174,0.01258943824071004,0.9218009478672986,0.9223536958243669,11,90
