modelo,cv_accuracy_mean,cv_accuracy_std,test_accuracy,f1_w,oob_score,fit_time_s
Random Forest mejor config,0.9519287833827892,0.01682783012315469,0.9549763033175356,0.955282624024749,0.9572700296735905,0.41398230798949953
Random Forest default,0.9388724035608309,0.01891676848725134,0.9478672985781991,0.9490053537063862,0.9406528189910979,0.47843936800200026
Decision Tree (baseline),0.9240356083086054,0.011039213790942564,0.9289099526066351,0.9297186556507485,,0.010189155989792198
Extra Trees,0.916320474777448,0.02050700598595965,0.9265402843601895,0.9277147925459452,,0.1174001539911842
