configuracion,n_estimators,learning_rate,cv_accuracy_mean,cv_accuracy_std,test_accuracy,f1_w,fit_time_s
"AdaBoost (n=100, lr=0.5)",100,0.5,0.3899109792284866,0.02570493510707146,0.4265402843601896,0.3232943223068033,0.29893358900153544
"AdaBoost (n=50, lr=1.0)",50,1.0,0.344213649851632,0.009930682807526119,0.34834123222748814,0.2519322739407613,0.14797876300872304
"AdaBoost (n=100, lr=1.0)",100,1.0,0.31928783382789316,0.034533736560180786,0.34834123222748814,0.2519322739407613,0.29594219400314614
"AdaBoost (n=200, lr=0.1)",200,0.1,0.284272997032641,0.008266105802483159,0.2843601895734597,0.18246000274530572,0.5931643990043085
