C,gamma,cv_accuracy,test_accuracy,n_sv,pct_training_sv,fit_time_s,cv_fit_time_s
100.0,0.01,0.940059347181009,0.943127962085308,629,37.32937685459941,0.061152702997787856,0.08379039764404297
100.0,0.001,0.9222551928783382,0.9407582938388626,879,52.166172106824924,0.07110984799510334,0.08936424255371093
100.0,auto,0.9086053412462908,0.9218009478672986,799,47.41839762611276,0.08583538899256382,0.11741251945495605
100.0,scale,0.9086053412462908,0.9218009478672986,799,47.41839762611276,0.08008144798805006,0.13148136138916017
10.0,scale,0.9080118694362017,0.909952606635071,850,50.445103857566764,0.08402846200624481,0.09853005409240723
10.0,auto,0.9080118694362017,0.909952606635071,850,50.445103857566764,0.07980435299396049,0.09910979270935058
10.0,0.01,0.9074183976261129,0.919431279620853,880,52.225519287833826,0.06671849000849761,0.08640108108520508
10.0,0.1,0.889614243323442,0.8981042654028436,943,55.96439169139466,0.11182145000202581,0.13811964988708497
100.0,0.1,0.8890207715133531,0.9028436018957346,939,55.72700296735905,0.11435069600702263,0.14049434661865234
1.0,0.1,0.8658753709198812,0.8601895734597157,1053,62.49258160237389,0.10708091499691363,0.1239023208618164
1.0,scale,0.8528189910979229,0.8720379146919431,1089,64.62908011869436,0.09448215199518017,0.11860718727111816
1.0,auto,0.8528189910979229,0.8720379146919431,1089,64.62908011869436,0.08789550000801682,0.12286796569824218
100.0,1,0.7857566765578634,0.7914691943127962,1260,74.77744807121661,0.23567080000066198,0.3314565658569336
10.0,1,0.7857566765578634,0.7914691943127962,1260,74.77744807121661,0.23647121900285129,0.2631839752197266
1.0,1,0.7738872403560831,0.7796208530805687,1278,75.84569732937686,0.23361678699438926,0.29429149627685547
1.0,0.01,0.7626112759643917,0.8222748815165877,1289,76.49851632047478,0.09684985500643961,0.10890393257141114
10.0,0.001,0.7424332344213649,0.8033175355450237,1282,76.08308605341246,0.09816394701192621,0.1199465274810791
0.1,0.1,0.6635014836795252,0.7085308056872038,1422,84.39169139465875,0.1565741709928261,0.14883956909179688
0.1,auto,0.6545994065281899,0.6966824644549763,1472,87.35905044510386,0.1626196729921503,0.16851506233215333
0.1,scale,0.6545994065281899,0.6966824644549763,1472,87.35905044510386,0.14615732298989315,0.16054315567016603
0.1,0.01,0.5608308605341247,0.6090047393364929,1632,96.8545994065282,0.18764453899348155,0.17979416847229004
1.0,0.001,0.5436201780415431,0.6161137440758294,1620,96.14243323442136,0.1673849539947696,0.18665676116943358
0.1,1,0.3495548961424332,0.3744075829383886,1570,93.17507418397626,0.2182788390055066,0.23360238075256348
0.1,0.001,0.16557863501483677,0.16587677725118483,1685,100.0,0.29058650699153077,0.21819305419921875
