implementation,cv_accuracy_mean,cv_accuracy_std,test_accuracy,n_sv,fit_time_s
SVC(linear),0.9418397626112759,0.024939942302018642,0.9383886255924171,565.0,0.06778633200156037
LinearSVC,0.7632047477744807,0.034979613123540365,0.7867298578199052,,4.267551451004692
SGDClassifier,0.7062314540059348,0.0312912197660868,0.6943127962085308,,0.043420154004707
