max_depth,train_accuracy,cv_accuracy_mean,cv_accuracy_std,test_accuracy
5,1.0,0.9566765578635016,0.014366431379121893,0.9597156398104265
3,1.0,0.9560830860534125,0.01813733743612595,0.966824644549763
2,0.9905044510385757,0.9388724035608309,0.010381516726727548,0.9407582938388626
1,0.8789317507418397,0.8433234421364986,0.008266105802483133,0.8412322274881516
