rank,feature,gini_importance,perm_importance_mean,perm_importance_std
1,Weight,0.4585252868018024,0.7383886255924171,0.0187248779764345
2,Height,0.2463382005784754,0.311611374407583,0.0154028436018957
3,Gender,0.1583419967944513,0.1720379146919431,0.0138661031642917
4,Age,0.0387686034311061,0.0580568720379147,0.007586640091745
5,FAVC,0.023531781847458,0.0056872037914692,0.0021718368222539
6,FAF,0.0128381174750324,-0.0021327014218008,0.0026914257563034
7,FCVC,0.0098842588194355,-0.000473933649289,0.0025522108090684
8,CH2O,0.008879553980917,0.0028436018957346,0.0027634843103532
9,TUE,0.0086153390822825,0.0021327014218009,0.0028925487241075
10,NCP,0.0085718002738696,0.0045023696682464,0.0026914257563034
