modelo,cv_accuracy_mean,cv_accuracy_std,test_accuracy,f1_w,n_sv,pct_training_sv
SVM Linear (mejor C),0.9614243323442138,0.009000445630921696,0.9715639810426541,0.9714975229238327,271,16.083086053412462
SVM RBF (mejor config),0.940059347181009,0.018234173882180665,0.943127962085308,0.9432023338167518,629,37.32937685459941
SVM Poly (mejor config),0.8718100890207714,0.023916251251762454,0.8886255924170616,0.8884659789413218,789,46.824925816023736
SVM Sigmoid (mejor config),0.6409495548961426,0.03201449011100575,0.6516587677725119,0.6500880330493247,1217,72.22551928783383
