max_depth,min_samples_split,min_samples_leaf,max_leaf_nodes,cv_accuracy_mean,cv_accuracy_std,rank_test_score
,2,2,,0.9287833827893174,0.01258943824071004,1
,5,1,,0.9275964391691396,0.013867443852282385,2
,5,2,,0.9270029673590503,0.017464615987610867,3
10,2,2,,0.9252225519287836,0.015968693230948034,4
10,2,1,,0.9252225519287833,0.017444437337328245,5
10,5,1,,0.9252225519287833,0.012363600389317268,5
10,5,2,,0.9240356083086054,0.01964741288693992,7
,2,1,,0.9240356083086054,0.011039213790942564,7
,2,2,50,0.9228486646884273,0.017097757021825453,9
10,2,2,50,0.9222551928783382,0.017343191924275924,10
,10,1,,0.9204747774480714,0.018330498767335918,11
,5,2,50,0.9204747774480712,0.015634349996818373,12
,10,2,,0.9198813056379821,0.019503473857750718,13
10,5,2,50,0.9186943620178042,0.01705650784949545,14
,10,2,50,0.9186943620178042,0.023485292507310865,14
10,5,1,50,0.9181008902077152,0.018253479524308273,16
,5,1,50,0.9181008902077152,0.018253479524308273,16
10,2,1,50,0.9181008902077151,0.019557575137429197,18
10,10,1,,0.9181008902077151,0.01891676848725129,18
,2,1,50,0.9181008902077151,0.019557575137429197,18
10,10,2,,0.9175074183976261,0.020763033453455065,21
10,10,2,50,0.916913946587537,0.024826707018815335,22
,10,1,50,0.913353115727003,0.02231643403793849,23
10,10,1,50,0.913353115727003,0.02231643403793849,23
10,2,10,50,0.9086053412462908,0.02663359723717134,25
10,5,10,50,0.9086053412462908,0.02663359723717134,25
10,10,10,50,0.9086053412462908,0.02663359723717134,25
10,20,10,50,0.9086053412462908,0.02663359723717134,25
,10,10,50,0.9086053412462908,0.02663359723717134,25
,20,10,50,0.9086053412462908,0.02663359723717134,25
,2,10,50,0.9086053412462908,0.02663359723717134,25
,5,10,50,0.9086053412462908,0.02663359723717134,25
,2,5,50,0.9080118694362017,0.026004631810334272,33
,5,5,50,0.9080118694362017,0.026004631810334272,33
,10,5,50,0.9080118694362017,0.026004631810334272,33
,10,5,,0.9074183976261129,0.025066720572038993,36
,5,5,,0.9074183976261129,0.025066720572038993,36
,2,5,,0.9074183976261129,0.025066720572038993,36
,20,1,,0.9056379821958458,0.025622591269938138,39
10,20,10,,0.9050445103857566,0.025663796214171666,40
,5,10,,0.9050445103857566,0.025663796214171666,40
10,2,10,,0.9050445103857566,0.025663796214171666,40
,10,10,,0.9050445103857566,0.025663796214171666,40
10,2,5,50,0.9050445103857566,0.026004631810334272,40
10,10,10,,0.9050445103857566,0.025663796214171666,40
10,5,5,50,0.9050445103857566,0.026004631810334272,40
10,10,5,50,0.9050445103857566,0.026004631810334272,40
,20,10,,0.9050445103857566,0.025663796214171666,40
,2,10,,0.9050445103857566,0.025663796214171666,40
10,5,10,,0.9050445103857566,0.025663796214171666,40
10,2,5,,0.9044510385756677,0.026367786221392363,51
10,5,5,,0.9044510385756677,0.026367786221392363,51
10,10,5,,0.9044510385756677,0.026367786221392363,51
,20,2,50,0.9038575667655786,0.025080767488564297,54
10,20,1,50,0.9038575667655786,0.024869230670334648,54
10,20,2,50,0.9032640949554895,0.0259096497957781,56
,20,2,,0.9032640949554895,0.024655879024143585,56
,20,1,50,0.9026706231454005,0.024426250002678528,58
10,20,1,,0.9020771513353116,0.02531837270943804,59
10,20,2,,0.9014836795252226,0.02616665600599238,60
,20,5,50,0.8979228486646884,0.0273641350347739,61
