C,gamma,cv_accuracy,test_accuracy,n_sv,pct_training_sv,fit_time_s,cv_fit_time_s
100.0,0.01,0.940059347181009,0.943127962085308,629,37.32937685459941,0.061152702997787856,0.08379039764404297
100.0,0.001,0.9222551928783382,0.9407582938388626,879,52.166172106824924,0.07110984799510334,0.08936424255371093
100.0,auto,0.9086053412462908,0.9218009478672986,799,47.41839762611276,0.08583538899256382,0.11741251945495605
100.0,scale,0.9086053412462908,0.9218009478672986,799,47.41839762611276,0.08008144798805006,0.13148136138916017
10.0,scale,0.9080118694362017,0.909952606635071,850,50.445103857566764,0.08402846200624481,0.09853005409240723
10.0,auto,0.9080118694362017,0.909952606635071,850,50.445103857566764,0.07980435299396049,0.09910979270935058
10.0,0.1,0.889614243323442,0.8981042654028436,943,55.96439169139466,0.11182145000202581,0.13811964988708497
1.0,scale,0.8528189910979229,0.8720379146919431,1089,64.62908011869436,0.09448215199518017,0.11860718727111816
100.0,1,0.7857566765578634,0.7914691943127962,1260,74.77744807121661,0.23567080000066198,0.3314565658569336
0.1,0.001,0.16557863501483677,0.16587677725118483,1685,100.0,0.29058650699153077,0.21819305419921875
