modelo,cv_accuracy_mean,cv_accuracy_std,test_accuracy,precision_w,recall_w,f1_w,fit_time_s
Gradient Boosting,0.9608308605341247,0.014218573947431373,0.9715639810426541,0.9745123741227847,0.9715639810426541,0.9717999288176371,5.577680988993961
Random Forest,0.9519287833827892,0.01682783012315469,0.9549763033175356,0.9568138473924188,0.9549763033175356,0.955282624024749,0.4411431929911487
SVM (mejor config),0.940059347181009,0.018234173882180665,0.943127962085308,0.943952648748109,0.943127962085308,0.9432023338167518,0.06590645499818493
Decision Tree,0.9281899109792284,0.01147719857911793,0.9265402843601895,0.930776043217723,0.9265402843601895,0.9274376639259149,0.010250444000121206
AdaBoost,0.3899109792284866,0.02570493510707146,0.4265402843601896,0.27587744220911115,0.4265402843601896,0.3232943223068033,0.3135080020001624
