ccp_alpha,cv_accuracy_mean,cv_accuracy_std,test_accuracy,f1_w,depth,n_leaves
0.0,0.9240356083086054,0.011039213790942564,0.9289099526066351,0.9297186556507485,12,101
0.0009891196834817012,0.9281899109792284,0.01147719857911793,0.9265402843601895,0.9274376639259149,10,70
0.0011072044185759424,0.9252225519287833,0.012783774022871222,0.9265402843601895,0.9274376639259149,10,67
0.0018906316235693093,0.9222551928783383,0.021837827291363934,0.9312796208530806,0.9312720508881789,9,43
0.004779625378695973,0.8955489614243323,0.02623387074813095,0.919431279620853,0.9187645875837702,8,25
0.09122039588475722,0.5026706231454006,0.06410045036342858,0.4312796208530806,0.3214573712345517,2,3
