kernel,cv_accuracy_mean,cv_accuracy_std,test_accuracy,precision_w,recall_w,f1_w,n_sv,pct_training_sv,fit_time_s
Linear,0.9418397626112759,0.024939942302018642,0.9383886255924171,0.9391248724796606,0.9383886255924171,0.9380637074091568,565,33.531157270029674,0.10316530699492432
RBF,0.8528189910979229,0.023183412444658262,0.8720379146919431,0.8806779188448793,0.8720379146919431,0.8746584586872447,1089,64.62908011869436,0.11217168100120034
Poly (d=3),0.7454005934718101,0.020507005985959635,0.7440758293838863,0.7611898613915004,0.7440758293838863,0.7389240142529059,1202,71.33531157270029,0.1239240989962127
Sigmoid,0.6409495548961426,0.03201449011100575,0.6516587677725119,0.649537620054325,0.6516587677725119,0.6500880330493247,1217,72.22551928783383,0.08446846299921162
