n_estimators,oob_score,test_accuracy,fit_time_s
10,0.8427299703264095,0.9075829383886256,0.06375657999888062
25,0.9086053412462908,0.9360189573459715,0.100569682996138
50,0.9275964391691395,0.9478672985781991,0.16540709500259254
100,0.9406528189910979,0.9478672985781991,0.20564221499080304
200,0.944213649851632,0.9478672985781991,0.3890560260042548
500,0.94540059347181,0.95260663507109,0.9214323890046217
