n_estimators,learning_rate,cv_accuracy_mean,cv_accuracy_std,test_accuracy
200,0.1,0.9608308605341247,0.014218573947431373,0.9715639810426541
50,0.5,0.9566765578635014,0.012104497361644586,0.9549763033175356
100,0.1,0.9560830860534125,0.01813733743612595,0.966824644549763
50,0.1,0.9459940652818991,0.018426320114255216,0.943127962085308
100,0.05,0.943026706231454,0.020847677234718438,0.9454976303317536
200,0.01,0.9068249258160236,0.018729654407192285,0.9004739336492891
