max_features,oob_score,test_accuracy
0.5,0.9590504451038576,0.9549763033175356
None,0.9543026706231454,0.95260663507109
sqrt,0.9406528189910979,0.9478672985781991
log2,0.9406528189910979,0.9478672985781991
