Node2Vec Hyperparameters,Cora
Dimensions,Num Walks,Walk Length,Run,Accuracy,Average Accuracy
16,80,20,Run 4,0.7254
16,80,20,Run 5,0.7072
16,80,20,Run 6,0.7022
16,80,20,Run 7,0.7183
16,80,20,Run 8,0.7243
16,80,20,Run 9,0.7193
16,80,20,Run 10,0.7123
16,80,20,Average Accuracy,0.7195
16,80,40,Run 1,0.6972
16,80,40,Run 2,0.6911
16,80,40,Run 3,0.7022
16,80,40,Run 4,0.6871
16,80,40,Run 5,0.6911
16,80,40,Run 6,0.6932
16,80,40,Run 7,0.7052
16,80,40,Run 8,0.6871
16,80,40,Run 9,0.7274
16,80,40,Run 10,0.6871
16,80,40,Average Accuracy,0.6969
16,80,60,Run 1,0.7093
16,80,60,Run 2,0.7133
16,80,60,Run 3,0.7032
16,80,60,Run 4,0.6911
16,80,60,Run 5,0.6851
16,80,60,Run 6,0.6881
16,80,60,Run 7,0.6942
16,80,60,Run 8,0.7002
16,80,60,Run 9,0.7143
16,80,60,Run 10,0.7002
16,80,60,Average Accuracy,0.6999
16,80,80,Run 1,0.7113
16,80,80,Run 2,0.7022
16,80,80,Run 3,0.6932
16,80,80,Run 4,0.7052
16,80,80,Run 5,0.7072
16,80,80,Run 6,0.6962
16,80,80,Run 7,0.6942
16,80,80,Run 8,0.6891
16,80,80,Run 9,0.7133
16,80,80,Run 10,0.6932
16,80,80,Average Accuracy,0.7005
16,80,100,Run 1,0.7022
16,80,100,Run 2,0.6861
16,80,100,Run 3,0.6891
16,80,100,Run 4,0.6871
16,80,100,Run 5,0.6922
16,80,100,Run 6,0.6851
16,80,100,Run 7,0.6962
16,80,100,Run 8,0.6751
16,80,100,Run 9,0.6922
16,80,100,Run 10,0.6881
16,80,100,Average Accuracy,0.6893
16,100,20,Run 1,0.7032
16,100,20,Run 2,0.7012
16,100,20,Run 3,0.7052
16,100,20,Run 4,0.6881
16,100,20,Run 5,0.6962
16,100,20,Run 6,0.6922
16,100,20,Run 7,0.6891
16,100,20,Run 8,0.7012
16,100,20,Run 9,0.7093
16,100,20,Run 10,0.6801
16,100,20,Average Accuracy,0.6966
16,100,40,Run 1,0.6992
16,100,40,Run 2,0.7042
16,100,40,Run 3,0.7223
16,100,40,Run 4,0.7032
16,100,40,Run 5,0.6942
16,100,40,Run 6,0.7082
16,100,40,Run 7,0.7133
16,100,40,Run 8,0.7193
16,100,40,Run 9,0.7163
16,100,40,Run 10,0.7123
16,100,40,Average Accuracy,0.7093
16,100,60,Run 1,0.7344
16,100,60,Run 2,0.7233
16,100,60,Run 3,0.7284
16,100,60,Run 4,0.7203
16,100,60,Run 5,0.6992
16,100,60,Run 6,0.7203
16,100,60,Run 7,0.7213
16,100,60,Run 8,0.7324
16,100,60,Run 9,0.7103
16,100,60,Run 10,0.6982
16,100,60,Average Accuracy,0.7188
16,100,80,Run 1,0.7012
16,100,80,Run 2,0.6811
16,100,80,Run 3,0.6841
16,100,80,Run 4,0.6740
16,100,80,Run 5,0.6700
16,100,80,Run 6,0.6911
16,100,80,Run 7,0.6821
16,100,80,Run 8,0.6861
16,100,80,Run 9,0.6881
16,100,80,Run 10,0.6821
16,100,80,Average Accuracy,0.6840
16,100,100,Run 1,0.7062
16,100,100,Run 2,0.6982
16,100,100,Run 3,0.7022
16,100,100,Run 4,0.6831
16,100,100,Run 5,0.6831
16,100,100,Run 6,0.6841
16,100,100,Run 7,0.6730
16,100,100,Run 8,0.6861
16,100,100,Run 9,0.7062
16,100,100,Run 10,0.6781
16,100,100,Average Accuracy,0.6900
16,120,20,Run 1,0.7093
16,120,20,Run 2,0.6962
16,120,20,Run 3,0.7203
16,120,20,Run 4,0.7062
16,120,20,Run 5,0.7133
16,120,20,Run 6,0.7022
16,120,20,Run 7,0.7052
16,120,20,Run 8,0.7042
16,120,20,Run 9,0.7123
16,120,20,Run 10,0.6841
