dimensions,num_walks,walk_length,run,accuracy,average_accuracy
128,120,20,9.0,0.7545271629778671,
128,120,20,10.0,0.7474849094567404,
128,120,20,,,0.7549295774647887
128,20,20,1.0,0.8269617706237424,
128,20,20,2.0,0.8158953722334004,
128,20,20,3.0,0.8279678068410463,
128,20,20,4.0,0.8209255533199196,
128,20,20,5.0,0.8088531187122736,
128,20,20,6.0,0.8309859154929577,
128,20,20,7.0,0.8158953722334004,
128,20,20,8.0,0.8199195171026157,
128,20,20,9.0,0.8319919517102615,
128,20,20,10.0,0.8078470824949698,
128,20,20,,,0.8207243460764587
128,20,40,1.0,0.8048289738430584,
