Weight_Combination,Mean_Accuracy,Std_Deviation,Number_of_Pairs
"(0.3, 0.3, 0.4)",0.7106,0.2758,1225
"(0.3, 0.4, 0.3)",0.7088,0.2782,1225
"(0.4, 0.3, 0.3)",0.7074,0.2811,1225
"(0.5, 0.2, 0.3)",0.7049,0.2824,1225
"(0.5, 0.3, 0.2)",0.7019,0.2827,1225
"(0.6, 0.2, 0.2)",0.7,0.2831,1225
