Weight_Combination,Mean_Accuracy,Std_Deviation,Number_of_Pairs
"(0.3, 0.3, 0.4)",0.7414,0.2809,1225
"(0.3, 0.4, 0.3)",0.7402,0.282,1225
"(0.4, 0.3, 0.3)",0.7376,0.2847,1225
"(0.5, 0.2, 0.3)",0.7336,0.2853,1225
"(0.5, 0.3, 0.2)",0.73,0.2839,1225
"(0.6, 0.2, 0.2)",0.7261,0.2851,1225
