Category,Mean_Accuracy,Std_Deviation,Number_of_Pairs
car,0.9533,0.1746,15
duck,1.0,0.0,15
face,1.0,0.0,15
motorbike,1.0,0.0,15
winebottle,1.0,0.0,15
