PCA_1,PCA_2,PCA_3,class
-1.6123418620531953,2.0866492543732,-0.9837391680389944,baja
-0.5936549374418536,0.8329724005007544,-1.6881417769768807,baja
-1.3681807558035175,0.6427615669296023,-0.5602694285112763,baja
-1.4675064924405608,1.4445414059137185,-0.5345669715890177,baja
-1.380017901328761,-0.7511004942039206,-1.0574684070950708,baja
-1.1397430044140284,-0.685472299762944,-1.2887801811907755,baja
-1.6825284769988331,1.2782796898758864,-0.6657872079970896,baja
-1.3503627533254,-0.6182675407813826,-0.652945012227727,baja
-1.512310320486968,0.807416073786268,-1.4660172499650783,baja
-1.2281520317508934,1.4320539349934365,-1.215245640794748,baja
-1.2523264165255177,0.921289974518012,-1.0453124273656746,baja
-1.5731901477479804,1.1549485299970923,-0.5110598860148498,baja
-1.0540753031525731,0.955312281593164,-0.5951246657291079,baja
-1.117367600040027,-1.1951122423640372,-0.5829341422063218,baja
-1.5747257393665928,0.9968645153451569,-0.142034631768784,baja
-1.1253305326371703,0.980820304010774,-1.6372588748536736,baja
-0.2934765619925486,1.157963012653482,-2.0474391344459364,baja
-0.2885110920833967,-0.809321834229865,-0.6995115834133102,baja
-0.5583847890221083,0.7747210514044202,-0.4999654894635845,baja
-0.5081946943401465,-1.2348842399747335,-0.9209525276642871,baja
-0.6359733261113889,-0.6016401484532148,-1.21243459754046,baja
-1.3074164187543214,1.4104765425934578,-0.8526584330017009,baja
-1.1205089364552394,0.326093642953382,-1.2192979980285048,baja
-1.4617395898909835,2.092502619738158,-0.7520861360704287,baja
-0.9649943737293148,0.4826690391905234,-0.5294122850539252,baja
-1.4141476610011328,0.7746470532302133,0.027090403262795,baja
-0.6668736305094394,-0.6862663605794589,-1.842809714075294,baja
-1.534136111816793,0.769143395422197,-0.1755032485409343,baja
-1.2430223474809097,0.5662389958552484,-1.116289759243872,baja
-0.2160377178638235,-1.289091706288793,-0.9320596893904392,baja
-1.438763180078024,-1.2903313675515118,-0.6910902065711523,baja
-1.0914328532153217,0.4639897132740888,-1.145131520588196,baja
-0.3869788749640294,0.5418767569620435,-1.87000292111804,baja
-1.620318520013635,0.5875726722205953,-0.5532950889324137,baja
-0.601188405346554,1.0992136401245651,-1.6366731375285133,baja
-0.367172155493013,-0.5521724226688689,-1.9339791210207595,baja
-1.5057806084287702,0.4633362123679232,-0.9876821150475432,baja
0.2141997445763269,1.162973053434177,-2.265001598201514,baja
-1.1231842977182145,0.692985303299491,-1.6698181050868013,baja
-0.6807372782197402,1.096872953943791,-1.9078701629652572,baja
-0.9332429860310606,-1.083090157853859,-1.6091247257384746,baja
-1.6892017206594194,0.4157861367728889,-0.4802121080258454,baja
