Category,Mean_Accuracy,Std_Deviation,Number_of_Images
car_df,0.7841,0.268,40
duck_df,0.7072,0.2789,50
face_df,0.9092,0.1498,109
motorbike_df,0.8713,0.2077,40
winebottle_df,0.8931,0.1675,66
