film_code,cinema_code,total_sales,tickets_sold,tickets_out,show_time,occu_perc,ticket_price,ticket_use,capacity,date,month,quarter,day,class
1486,165,1240000,31,0,3,7.95,40000.0,31,389.937106918239,2018-06-12,6,2,12,baja
1559,518,26840000,286,0,9,22.31,93846.15384615384,286,1281.936351411923,2018-09-14,9,3,14,baja
1494,477,450000,9,0,1,4.55,50000.0,9,197.8021978021978,2018-06-13,6,2,13,baja
1559,253,490000,7,0,4,1.84,70000.0,7,380.4347826086956,2018-08-05,8,3,5,baja
1498,182,2560000,64,0,1,11.27,40000.0,64,567.8793256433008,2018-07-03,7,3,3,baja
1481,484,6060000,101,0,3,22.44,60000.0,101,450.0891265597148,2018-04-29,4,2,29,baja
1575,452,5700000,38,0,3,18.1,150000.0,38,209.94475138121547,2018-10-15,10,4,15,baja
1499,453,2640000,65,0,5,4.73,40615.38461538462,65,1374.2071881606764,2018-06-27,6,2,27,baja
1511,165,1760000,22,0,2,8.46,80000.0,22,260.04728132387703,2018-07-12,7,3,12,baja
1484,273,2810000,59,0,2,7.97,47627.1186440678,59,740.276035131744,2018-04-27,4,2,27,baja
1483,312,8080000,101,0,6,19.5,80000.0,101,517.948717948718,2018-04-21,4,2,21,baja
1554,33,26220000,437,0,6,20.23,60000.0,437,2160.1581809194263,2018-08-14,8,3,14,baja
1493,142,1700000,17,0,5,6.94,100000.0,17,244.956772334294,2018-08-29,8,3,29,baja
1499,431,200000,2,0,6,0.52,100000.0,2,384.6153846153846,2018-07-08,7,3,8,baja
1575,39,7560000,126,0,4,18.31,60000.0,126,688.1485527034408,2018-10-20,10,4,20,baja
1572,396,35800000,358,0,7,16.5,100000.0,358,2169.696969696969,2018-10-04,10,4,4,baja
1493,522,9450000,63,2,4,18.31,150000.0,61,344.0742763517204,2018-05-16,5,2,16,baja
1559,460,850000,17,0,2,2.13,50000.0,17,798.1220657276996,2018-08-22,8,3,22,baja
1554,482,1230000,41,0,1,15.19,30000.0,41,269.9144173798552,2018-10-06,10,4,6,baja
1498,441,350000,7,0,6,0.45,50000.0,7,1555.5555555555554,2018-07-30,7,3,30,baja
1559,247,520000,8,0,1,4.55,65000.0,8,175.82417582417582,2018-08-23,8,3,23,baja
1496,445,2280000,19,0,3,5.92,120000.0,19,320.94594594594594,2018-05-12,5,2,12,baja
1495,522,300000,2,0,3,0.78,150000.0,2,256.4102564102564,2018-06-15,6,2,15,baja
1493,344,19800000,140,0,4,13.16,141428.57142857142,140,1063.8297872340424,2018-07-04,7,3,4,baja
1558,33,12000000,100,0,7,4.08,120000.0,100,2450.9803921568628,2018-08-23,8,3,23,baja
1481,514,3120000,78,0,4,16.77,40000.0,78,465.1162790697675,2018-06-26,6,2,26,baja
1562,34,1680000,14,0,1,6.09,120000.0,14,229.8850574712644,2018-08-22,8,3,22,baja
1484,196,6000000,75,0,3,8.33,80000.0,75,900.3601440576231,2018-05-10,5,2,10,baja
1484,467,1800000,36,0,1,9.0,50000.0,36,400.0,2018-04-05,4,2,5,baja
1575,513,26640000,222,0,3,31.9,120000.0,222,695.9247648902822,2018-10-05,10,4,5,baja
1498,304,9600000,64,0,7,5.38,150000.0,64,1189.5910780669146,2018-06-30,6,2,30,baja
1482,292,1380000,46,0,2,12.64,30000.0,46,363.92405063291136,2018-05-05,5,2,5,baja
1471,529,2040000,17,0,3,12.06,120000.0,17,140.96185737976782,2018-05-11,5,2,11,baja
1552,442,1680000,21,0,2,5.05,80000.0,21,415.8415841584159,2018-07-30,7,3,30,baja
1498,528,1240000,24,0,2,13.11,51666.66666666666,24,183.0663615560641,2018-07-03,7,3,3,baja
1481,165,720000,9,0,1,15.0,80000.0,9,60.0,2018-05-31,5,2,31,baja
1484,50,52320000,436,0,6,22.5,120000.0,436,1937.7777777777776,2018-03-30,3,1,30,baja
1484,168,2000000,20,0,3,4.94,100000.0,20,404.8582995951417,2018-05-07,5,2,7,baja
1493,414,6640000,83,0,3,19.21,80000.0,83,432.06663196251947,2018-05-17,5,2,17,baja
1495,452,4720000,59,0,3,17.61,80000.0,59,335.0369108461102,2018-06-19,6,2,19,baja
1572,518,18360000,190,0,12,18.63,96631.57894736844,190,1019.8604401502952,2018-10-17,10,4,17,baja
1578,486,3200000,75,0,1,26.79,42666.66666666666,75,279.9552071668533,2018-10-25,10,4,25,baja
1556,306,5400000,90,0,6,3.55,60000.0,90,2535.211267605634,2018-09-08,9,3,8,baja
1482,89,63330000,572,0,6,28.67,110716.78321678322,572,1995.1168468782696,2018-04-11,4,2,11,baja
1495,266,3150000,21,0,3,4.24,150000.0,21,495.2830188679245,2018-06-27,6,2,27,baja
1569,165,1280000,16,0,2,13.33,80000.0,16,120.03000750187547,2018-10-25,10,4,25,baja
1572,501,4340000,88,3,2,21.89,49318.181818181816,85,402.01005025125625,2018-10-26,10,4,26,baja
1556,324,1470000,21,0,3,3.48,70000.0,21,603.448275862069,2018-08-22,8,3,22,baja
1485,273,3050000,61,0,2,8.24,50000.0,61,740.2912621359224,2018-03-29,3,1,29,baja
1485,396,5400000,54,0,3,12.24,100000.0,54,441.1764705882353,2018-04-07,4,2,7,baja
1495,464,4480000,60,0,1,16.9,74666.66666666667,60,355.0295857988166,2018-05-11,5,2,11,baja
1499,324,980000,14,0,3,2.27,70000.0,14,616.7400881057268,2018-06-14,6,2,14,baja
1556,429,5040000,42,0,3,6.83,120000.0,42,614.9341142020497,2018-09-16,9,3,16,baja
1484,479,3040000,38,0,2,11.24,80000.0,38,338.0782918149466,2018-04-09,4,2,9,baja
1498,34,7320000,61,0,3,18.48,120000.0,61,330.08658008658006,2018-08-05,8,3,5,baja
1556,362,2660000,76,0,2,23.82,35000.0,76,319.0596137699412,2018-09-04,9,3,4,baja
1493,51,29050000,478,0,16,11.0,60774.058577405856,478,4345.454545454545,2018-05-17,5,2,17,baja
1482,191,15270000,509,0,6,16.13,30000.0,509,3155.6106633601985,2018-05-08,5,2,8,baja
1554,160,12080000,151,0,4,5.58,80000.0,151,2706.093189964158,2018-07-18,7,3,18,baja
1486,204,2730000,39,0,8,1.59,70000.0,39,2452.830188679245,2018-04-20,4,2,20,baja
1493,156,72120000,1803,0,16,25.93,40000.0,1803,6953.335904357887,2018-05-01,5,2,1,baja
1483,248,4830000,69,0,3,3.33,70000.0,69,2072.072072072072,2018-04-22,4,2,22,baja
1484,513,5300000,57,0,1,22.98,92982.45614035089,57,248.04177545691903,2018-05-06,5,2,6,baja
1493,333,3120000,52,0,8,2.98,60000.0,52,1744.9664429530203,2018-05-17,5,2,17,baja
1560,501,320000,6,0,2,1.49,53333.333333333336,6,402.6845637583893,2018-08-20,8,3,20,baja
1494,352,42250000,431,0,6,31.1,98027.8422273782,431,1385.852090032154,2018-06-01,6,2,1,baja
1557,73,2400000,20,0,5,1.93,120000.0,20,1036.2694300518135,2018-06-30,6,2,30,baja
1551,539,1200000,15,0,2,4.84,80000.0,15,309.91735537190084,2018-07-28,7,3,28,baja
1511,390,3360000,42,0,5,9.57,80000.0,42,438.871473354232,2018-07-05,7,3,5,baja
1573,534,770000,11,0,3,4.17,70000.0,11,263.78896882494007,2018-10-14,10,4,14,baja
1558,522,2400000,16,4,3,6.27,150000.0,12,255.18341307814995,2018-08-12,8,3,12,baja
1482,162,960000,16,0,1,1.65,60000.0,16,969.6969696969696,2018-05-12,5,2,12,baja
1573,321,5200000,104,0,2,11.93,50000.0,104,871.7518860016766,2018-10-25,10,4,25,baja
1483,313,28040000,352,0,5,25.29,79659.09090909091,352,1391.8544879398971,2018-04-13,4,2,13,baja
1572,333,2040000,34,0,8,1.95,60000.0,34,1743.589743589744,2018-10-24,10,4,24,baja
1484,251,900000,30,0,4,10.0,30000.0,30,300.0,2018-04-10,4,2,10,baja
1493,34,21000000,175,0,6,6.48,120000.0,175,2700.617283950617,2018-06-15,6,2,15,baja
1494,181,4200000,48,0,3,8.33,87500.0,48,576.2304921968788,2018-05-28,5,2,28,baja
1563,457,200000,4,0,4,0.32,50000.0,4,1250.0,2018-09-26,9,3,26,baja
1493,51,17850000,357,0,16,8.22,50000.0,357,4343.065693430657,2018-06-12,6,2,12,baja
1558,415,2730000,39,0,3,4.11,70000.0,39,948.9051094890508,2018-09-05,9,3,5,baja
1552,380,3380000,35,0,2,17.5,96571.42857142857,35,200.0,2018-07-05,7,3,5,baja
1587,344,25350000,170,0,4,16.11,149117.64705882352,170,1055.2451893234015,2018-10-28,10,4,28,baja
1497,291,2820000,47,0,7,3.95,60000.0,47,1189.873417721519,2018-06-13,6,2,13,baja
1493,273,1020000,24,0,3,2.16,42500.0,24,1111.111111111111,2018-06-13,6,2,13,baja
1486,466,330000,9,0,3,1.75,36666.66666666666,9,514.2857142857143,2018-05-31,5,2,31,baja
1482,310,2700000,45,0,3,3.33,60000.0,45,1351.3513513513517,2018-03-22,3,1,22,baja
1483,168,4800000,48,0,3,11.85,100000.0,48,405.0632911392405,2018-04-14,4,2,14,baja
1559,528,900000,10,0,3,6.9,90000.0,10,144.92753623188406,2018-07-30,7,3,30,baja
1575,546,8850000,59,0,3,30.26,150000.0,59,194.97686715135487,2018-10-11,10,4,11,baja
1554,528,25410000,279,5,6,31.89,91075.2688172043,274,874.8824082784571,2018-08-16,8,3,16,baja
1572,428,5460000,78,0,2,26.0,70000.0,78,300.0,2018-10-31,10,4,31,baja
1554,141,72900000,494,0,6,30.82,147570.85020242914,494,1602.855288773524,2018-07-16,7,3,16,baja
1494,352,21760000,153,0,6,11.04,142222.22222222222,153,1385.8695652173917,2018-06-15,6,2,15,baja
1562,181,1380000,23,0,2,6.2,60000.0,23,370.96774193548384,2018-08-28,8,3,28,baja
1578,489,16840000,124,2,14,15.82,135806.4516129032,122,783.8179519595449,2018-10-24,10,4,24,baja
1481,237,3480000,58,0,2,8.53,60000.0,58,679.9531066822979,2018-05-05,5,2,5,baja
1481,471,4320000,108,0,2,15.43,40000.0,108,699.9351911860014,2018-05-13,5,2,13,baja
1485,169,4600000,51,6,6,8.21,90196.07843137256,45,621.1936662606577,2018-04-08,4,2,8,baja
1553,62,720000,9,0,6,0.94,80000.0,9,957.4468085106384,2018-10-21,10,4,21,baja
1499,451,650000,13,0,2,5.65,50000.0,13,230.08849557522123,2018-06-28,6,2,28,baja
1493,518,28180000,352,3,9,20.06,80056.81818181818,349,1754.735792622134,2018-05-09,5,2,9,baja
1556,91,840000,7,0,5,0.31,120000.0,7,2258.064516129032,2018-09-30,9,3,30,baja
1493,191,6550000,131,0,6,4.15,50000.0,131,3156.626506024096,2018-07-01,7,3,1,baja
1554,396,12900000,129,0,5,8.32,100000.0,129,1550.480769230769,2018-09-10,9,3,10,baja
1484,431,3800000,38,0,8,6.87,100000.0,38,553.1295487627365,2018-03-16,3,1,16,baja
1552,72,3120000,27,0,8,3.9,115555.55555555556,27,692.3076923076924,2018-07-21,7,3,21,baja
1493,168,5100000,51,0,4,12.59,100000.0,51,405.0833995234312,2018-04-26,4,2,26,baja
1558,194,1900000,38,0,2,7.22,50000.0,38,526.3157894736843,2018-09-05,9,3,5,baja
1483,452,24150000,161,0,5,16.51,150000.0,161,975.1665657177468,2018-04-08,4,2,8,baja
1494,485,14100000,94,0,4,23.04,150000.0,94,407.9861111111112,2018-05-12,5,2,12,baja
1554,555,1250000,25,0,2,8.01,50000.0,25,312.10986267166044,2018-08-26,8,3,26,baja
1496,71,2740000,22,0,2,4.6,124545.45454545454,22,478.2608695652175,2018-06-10,6,2,10,baja
1562,253,350000,5,0,3,1.75,70000.0,5,285.7142857142857,2018-09-17,9,3,17,baja
1559,427,3225000,25,0,2,13.02,129000.0,25,192.0122887864824,2018-09-14,9,3,14,baja
