AE_1,AE_2,AE_3,AE_4,AE_5,class
-0.04073491083128756,0.08664357589972208,-0.30293236924697375,-0.3493390963990292,0.04033534752407138,alta
0.22265877198613862,-0.03201121462198325,-0.07255552512717199,0.11557708732647161,0.1557119435603084,baja
-0.015259330180188494,-0.1676785235454449,-0.5614642096154775,0.2991500238998124,0.38036613919097356,alta
0.4691287263357275,0.35304269616323686,-0.22359088214161008,0.362710358444695,0.11390147249172075,alta
0.5414996473965147,-0.05021806270939929,0.17973498942088695,0.17393385874268455,0.2346355855047536,media
0.5676967779865347,0.23462009022290503,0.03792971882826728,-0.053381369002198684,0.04831890849684097,baja
0.5594872941549831,-0.03199166346553497,0.11655327236010445,0.041302293488482404,0.19319301995891372,alta
0.35379686023055024,0.1689173997825581,-0.3293846621341034,0.4194842260778802,0.0029904377321633984,alta
0.4510454154065883,0.3139088854452658,-0.2066039041559735,0.3820691417339539,-0.008746316685592346,alta
0.4682339264971469,-0.31022378351219115,0.02630254252953731,0.13500371995025184,0.2191242644497565,alta
0.10874676385658892,0.1981206391554852,-0.1937225191765377,-0.4969200668180963,-0.08694169101059729,baja
0.3512645408814703,-0.0640790285880055,-0.15597697151030976,0.012610301563280668,0.0717855485016345,alta
0.4246843026889687,-0.17722835886558386,0.324861715279389,0.24787425154738174,-0.23315524119179618,baja
0.2196237362670728,-0.27770187234502197,0.16370076184624419,0.4577106082302916,-0.5948245327329779,baja
0.545791933853072,-0.09048049339417559,0.13232932286800772,0.1620380909111913,0.21103655437473193,media
0.2007615575070969,0.21418671977470588,-0.22741753811303467,-0.20242598392791636,-0.1647544657643599,baja
0.5188253507215652,0.18620322545940035,-0.06337282291690848,0.19980691609891152,0.13906596985818748,alta
0.5348953817221183,0.35456530355334537,-0.09686870229993305,0.15029971871361286,-0.0021889598066279843,media
0.31045335355825654,0.12779456986337265,0.22888242876611728,-0.039695116338932995,-0.4916467899177899,baja
0.18446254777951376,-0.37629526309020533,-0.29121300515824977,0.03635453766411363,0.16387901660239937,alta
0.4020837674680843,0.46927862029551215,-0.1742131296902197,0.06269206856857423,-0.10642158986901018,alta
0.4127631873016073,0.19144934318781057,-0.1933160892055856,-0.01824238204772799,0.13907047400733336,media
0.5783812596956712,-0.07949412739692278,0.18993628097253246,0.1271002495168177,0.24175378762629113,media
0.41787845097690596,0.012762683543046525,-0.1159187898577971,0.3875052143512439,0.14694740448345736,alta
0.46990470676174195,-0.039785756922382655,0.10250261773042599,0.05752758483489759,0.058834496309693826,baja
0.41329852481144325,0.22642441898038385,-0.18765651284494692,-0.10610258102579105,-0.0030547423402643415,baja
0.5324938308197067,0.11199839039777104,-0.009620219412227812,0.18110745506150366,0.1071353375569425,media
0.045296485512409876,-0.5176962245327003,-0.48383783267888836,0.32291559519436025,0.5417888529522,alta
0.13072983043536937,0.3267334755722327,-0.3188163579910481,-0.28858050678475217,-0.18382752082942383,baja
0.28769642337920925,-0.01809740720224297,-0.0616255612416587,0.07952488169253058,0.028836077683130904,media
0.2835272542255295,0.22076398293477426,-0.22400661644194278,-0.13933241773117022,-0.02259533539172074,alta
0.16052585886513307,0.10935853907183296,-0.22894995093164505,0.05010330426634699,0.06522498033977625,media
